set,name,year,num_parts,price,theme
31038-1,Changing Seasons,2015,536,49.99,Creator
31039-1,Blue Power Jet,2015,608,69.99,Creator
31040-1,Desert Racers,2016,65,4.99,Creator
31041-1,Construction Vehicles,2016,64,4.99,Creator
31042-1,Super Soarer,2016,100,9.99,Creator
31043-1,Chopper Transporter,2016,124,9.99,Creator
31044-1,Park Animals,2016,202,14.99,Creator
31045-1,Ocean Explorer,2016,213,14.99,Creator
31046-1,Fast Car,2016,222,19.99,Creator
31047-1,Propeller Plane,2016,230,19.99,Creator
31048-1,Lakeside Lodge,2016,370,29.99,Creator
31049-1,Twin Spin Helicopter,2016,326,29.99,Creator
31050-1,Corner Deli,2016,467,39.99,Creator
31051-1,Lighthouse Point,2016,528,59.99,Creator
31052-1,Vacation Getaways,2016,792,69.99,Creator
31053-1,Treehouse Adventures,2016,387,34.99,Creator
31054-1,Blue Express,2017,71,4.99,Creator
31055-1,Red Racer,2017,72,4.99,Creator
31056-1,Green Cruiser,2017,122,9.99,Creator
31057-1,Air Blazer,2017,102,9.99,Creator
31058-1,Mighty Dinosaurs,2017,174,14.99,Creator
31059-1,Sunset Street Bike,2016,194,19.99,Creator
31060-1,Airshow Aces,2016,246,19.99,Creator
31062-1,Robo Explorer,2017,205,19.99,Creator
31063-1,Beachside Vacation,2017,275,29.99,Creator
31064-1,Island Adventures,2017,359,34.99,Creator
31065-1,Park Street Townhouse,2017,566,49.99,Creator
31066-1,Space Shuttle Explorer,2017,285,29.99,Creator
31067-1,Modular Poolside Holiday,2017,356,29.99,Creator
31068-1,Modular Modern Home,2017,386,29.99,Creator
31069-1,Modular Family Villa,2017,728,69.99,Creator
31070-1,Turbo Track Racer,2017,670,59.99,Creator
31071-1,Drone Explorer,2018,109,9.99,Creator
31072-1,Extreme Engines,2018,109,9.99,Creator
31073-1,Mythical Creatures,2018,223,14.99,Creator
31074-1,Rocket Rally Car,2018,241,19.99,Creator
31075-1,Outback Adventures,2018,225,19.99,Creator
31076-1,Daredevil Stunt Plane,2018,200,19.99,Creator
31077-1,Modular Sweet Surprises,2018,396,39.99,Creator
31078-1,Tree House Treasures,2018,260,29.99,Creator
31079-1,Sunshine Surfer Van,2018,379,34.99,Creator
31080-1,Modular Winter Vacation,2018,374,34.99,Creator
31081-1,Modular Skate House,2018,422,39.99,Creator
31083-1,Cruising Adventures,2018,597,59.99,Creator
31084-1,Pirate Roller Coaster,2018,923,89.99,Creator
31085-1,Mobile Stunt Show,2018,581,49.99,Creator
31086-1,Futuristic Flyer,2019,157,14.99,Creator
31087-1,Dune Buggy,2019,147,12.99,Creator
31088-1,Deep Sea Creatures,2019,230,14.99,Creator
31089-1,Sunset Track Racer,2019,221,19.99,Creator
31090-1,Underwater Robot,2019,207,19.99,Creator
31091-1,Shuttle Transporter,2019,341,24.99,Creator
31092-1,Helicopter Adventure,2019,114,9.99,Creator
31093-1,Riverside Houseboat,2019,396,39.99,Creator
31094-1,Race Plane,2019,333,29.99,Creator
31095-1,Fairground Carousel,2019,595,49.99,Creator
31096-1,Twin-Rotor Helicopter,2019,569,59.99,Creator
31097-1,Townhouse Pet Shop & Café,2019,969,79.99,Creator
31098-1,Outback Cabin,2019,305,29.99,Creator
31099-1,Propeller Plane,2020,128,9.99,Creator
31100-1,Sports Car,2020,134,9.99,Creator
31101-1,Monster Truck,2020,163,14.99,Creator
31102-1,Fire Dragon,2020,234,19.99,Creator
31103-1,Rocket Truck,2020,198,19.99,Creator
31104-1,Monster Burger Truck,2020,499,49.99,Creator
31105-1,Townhouse Toy Store,2020,554,39.99,Creator
31107-1,Space Rover Explorer,2020,510,39.99,Creator
31108-1,Caravan Family Holiday,2020,766,69.99,Creator
31109-1,Pirate Ship,2020,1262,99.99,Creator
31111-1,Cyber Drone,2021,113,9.99,Creator
31112-1,Wild Lion,2021,224,14.99,Creator
31113-1,Race Car Transporter,2021,328,19.99,Creator
31114-1,Superbike,2021,236,19.99,Creator
31118-1,Surfer Beach House,2021,564,49.99,Creator
3183-1,Stephanie’s Cool Convertible,2012,149,14.99,Friends
3184-1,Adventure Camper,2012,325,34.99,Friends
3185-1,Summer Riding Camp,2012,1160,99.99,Friends
3186-1,Emma's  Horse Trailer,2012,233,24.99,Friends
3187-1,Butterfly Beauty Shop,2012,241,24.99,Friends
3188-1,Heartlake Vet,2012,371,44.99,Friends
3189-1,Heartlake Stables,2012,426,49.99,Friends
3315-1,Olivia’s House,2012,734,74.99,Friends
3930-1,Stephanie's Outdoor Bakery,2012,45,6.99,Friends
3931-1,Emma's Splash Pool,2012,43,5.99,Friends
3932-1,Andrea’s Stage,2012,87,9.99,Friends
3933-1,Olivia's Invention Workshop,2012,86,9.99,Friends
3934-1,Mia’s Puppy House,2012,83,9.99,Friends
3935-1,Stephanie’s Pet Patrol,2012,73,9.99,Friends
3936-1,Emma’s Fashion Design Studio,2012,81,9.99,Friends
3937-1,Olivia's Speedboat,2012,65,9.99,Friends
3938-1,Andrea's Bunny House,2012,64,9.99,Friends
3939-1,Mia's Bedroom,2012,87,9.99,Friends
3942-1,Heartlake Dog Show,2012,202,19.99,Friends
40025-1,Yellow Cab,2012,43,4.99,Creator
40049-1,Mini Sopwith Camel,2012,65,0,Creator
40073-1,Panda,2013,70,NA,Creator
40078-1,Hot Dog Cart,2013,39,NA,Creator
40079-1,Mini VW T1 Camper Van,2013,76,NA,Creator
40108-1,Balloon Cart,2014,66,4.99,Creator
40109-1,MINI Cooper Mini Model,2014,59,NA,Creator
40110-1,Coin Bank,2014,122,14.99,Town
40112-1,Model Catwalk,2014,143,14.99,Friends
40114-1,LEGO Friends Buildable Jewelry Box,2014,201,14.99,Friends
40140-1,Flower Cart,2015,75,4.99,Creator
40141-1,Bricktober Hotel,2015,204,NA,Modular Buildings
40142-1,Bricktober Train Station,2015,180,NA,Modular Buildings
40143-1,Bricktober Bakery,2015,234,NA,Modular Buildings
40144-1,Bricktober Toys R Us Store,2015,165,NA,Modular Buildings
40156-1,Organiser,2015,171,16.99,Friends
40170-1,Build My City Accessory Set,2017,102,9.99,Town
40171-1,Hedgehog Storage,2017,249,12.99,Friends
40175-1,Police Road Block Mission,2017,58,NA,Town
40176-1,Scarif Stormtrooper,2017,25,NA,Star Wars
40177-1,City Jungle Explorer Kit,2017,40,NA,Town
40180-1,Bricktober Theater,2014,164,19.99,Modular Buildings
40181-1,Bricktober Pizza Place,2014,139,19.99,Modular Buildings
40182-1,Bricktober Fire Station,2014,175,19.99,Modular Buildings
40183-1,Bricktober Town Hall,2014,186,19.99,Modular Buildings
40220-1,London Bus,2016,118,9.99,Creator
40221-1,Fountain,2016,105,NA,Creator
40251-1,Mini Piggy Bank,2017,248,NA,Creator
40252-1,Mini VW Beetle,2017,141,NA,Creator
40264-1,Build My Heartlake City Accessory Set,2017,121,9.99,Friends
40265-1,Friends Tic-Tac-Toe,2017,58,NA,Friends
40266-1,Mini Keepsake Box,2017,105,5.99,Friends
40268-1,R3-M2,2017,22,NA,Star Wars
40288-1,BB-8,2018,48,NA,Star Wars
40298-1,DJ,2018,22,NA,Star Wars
40299-1,Kessel Mine Worker,2018,22,NA,Star Wars
40300-1,Han Solo Mudtrooper,2018,22,NA,Star Wars
40302-1,Become My City Hero,2018,85,NA,Town
40303-1,Boost My City Vehicle Set,2018,79,NA,Town
40333-1,Battle of Hoth - 20th Anniversary Edition,2019,195,NA,Star Wars
40335-1,Space Rocket Ride,2019,154,NA,Ideas
40342-1,Minifigure Pack,2019,59,12.99,Ninjago
40345-1,Mars Exploration Minifigure Pack,2019,44,12.99,Town
40360-1,Name Sign,2019,91,9.99,Friends
40362-1,Battle of Endor - 20th Anniversary Edition,2019,197,NA,Star Wars
40372-1,Police Minifigure Accessory Set,2020,42,12.99,Town
40374-1,Golden Zane Minifigure Accessory Set,2020,73,12.99,Ninjago
40407-1,Death Star II Battle,2020,235,NA,Star Wars
40448-1,Vintage Car,2021,189,NA,Ideas
40468-1,Yellow Taxi,2021,124,9.99,Creator
40469-1,Tuk Tuk,2021,155,9.99,Creator
41000-1,Water Scooter Fun,2013,28,6.99,Friends
41001-1,Mia's Magic Tricks,2013,92,9.99,Friends
41002-1,Emma's Karate Course,2013,93,9.99,Friends
41003-1,Olivia's Newborn Foal,2013,85,9.99,Friends
41004-1,Rehearsal Stage,2013,200,19.99,Friends
41005-1,Heartlake High,2013,491,49.99,Friends
41006-1,Downtown Bakery,2013,269,29.99,Friends
