School,Sector,Type,Authority,SchoolGender,AffiliationType,Affiliation,MāoriAffiliation,RegionalCouncil,TerritorialAuthority,Takiwa,EQI
Hamilton Girls' High School,Secondary,Secondary (Year 9-15),State: Not integrated,Single Sex-Girls,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,463
St Andrews Middle School,Composite,Restricted Composite (Year 7-10),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,548
Hamilton North School,Specialist,Specialist School,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,496
Hamilton Seventh-Day Adventist School,Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Waikato,Waikato,Te Tai Whenua,437
Hamilton West School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,440
Hampden School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Waitaki,Te Tai Runga,487
Hampden Street School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Nelson,Nelson,Te Tai Runga,427
Hampstead School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Ashburton,Te Tai Runga,490
Hampton Hill School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Wellington,Te Tai Runga,428
Hanmer Springs School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Hurunui,Te Tai Runga,436
Harbour College,Secondary,Secondary (Year 7-15),Private: Fully Reg.,Co-Ed,Organisational Affiliation,Montessori,Not Applicable,Auckland,Auckland: Hibiscus and Bays,Te Tai Raro,NA
Hare Krishna School,Composite,Composite (Year 1-15),State: Integrated,Co-Ed,Religious Affiliation,Hare Krishna,Not Applicable,Auckland,Auckland: Rodney,Te Tai Raro,376
Harewood School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,409
Harrisville School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Raro,448
Harvest Christian School,Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Northland,Far North,Te Tai Raro,455
Hastings Boys' High School,Secondary,Secondary (Year 9-15),State: Not integrated,Single Sex-Boys,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,504
Hastings Central School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,530
