School,Sector,Type,Authority,SchoolGender,AffiliationType,Affiliation,MāoriAffiliation,RegionalCouncil,TerritorialAuthority,Takiwa,EQI
St Teresa's School (Riccarton),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Canterbury,Christchurch,Te Tai Runga,404
St Theresa's School (Invercargill),Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Southland,Invercargill,Te Tai Runga,409
St Theresa's School (Plimmerton),Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Wellington,Porirua,Te Tai Runga,365
St Therese School (Three Kings),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Auckland,Auckland: Puketapapa,Te Tai Raro,483
St Thomas More Catholic School,Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Bay of Plenty,Tauranga,Te Tai Whenua,425
St Thomas School (Auckland),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Orakei,Te Tai Raro,371
St Thomas School (Winton),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Southland,Southland,Te Tai Runga,413
St Thomas of Canterbury College,Secondary,Secondary (Year 7-15),State: Integrated,Single Sex-Boys,Religious Affiliation,Roman Catholic,Not Applicable,Canterbury,Christchurch,Te Tai Runga,428
Stanhope Road School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,422
Stanley Avenue School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Matamata-Piako,Te Tai Whenua,474
Stanley Bay School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Devonport-Takapuna,Te Tai Raro,358
Stanmore Bay School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Hibiscus and Bays,Te Tai Raro,432
Stella Maris Primary School,Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Auckland,Auckland: Hibiscus and Bays,Te Tai Raro,383
Stirling School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Clutha,Te Tai Runga,471
Stoke School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Nelson,Nelson,Te Tai Runga,483
Stonefields School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Orakei,Te Tai Raro,360
Stratford High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,Stratford,Te Tai Whenua,495
Stratford High School Teen Parent Unit,Secondary,Teen Parent Unit,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,Stratford,Te Tai Whenua,569
Stratford Primary School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,Stratford,Te Tai Whenua,484
Strath Taieri School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,425
Strathmore School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,South Waikato,Te Tai Whenua,530
Sts Peter and Paul School (L Hutt),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,385
Summerland Primary,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Henderson-Massey,Te Tai Raro,395
Summit Point School,Primary,Full Primary,Private: Fully Reg.,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Devonport-Takapuna,Te Tai Raro,NA
Sumner School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,386
Sunnybrae Normal School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Kaipatiki,Te Tai Raro,378
Sunnyhills School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,367
Sunnynook School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Devonport-Takapuna,Te Tai Raro,392
Sunnyvale School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Henderson-Massey,Te Tai Raro,478
Sunset Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Rotorua,Te Tai Whenua,555
Sutton Park School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Mangere-Otahuhu,Te Tai Raro,500
Suzanne Aubert Catholic School,Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Bay of Plenty,Tauranga,Te Tai Whenua,388
Swannanoa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Waimakariri,Te Tai Runga,410
Swanson School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Waitakere Ranges,Te Tai Raro,465
Sylvia Park School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,467
TKK Motuhake o Tawhiuau,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Bay of Plenty,Whakatane,Te Tai Whenua,547
TKKM o Bernard Fergusson,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Waikato,Waikato,Te Tai Whenua,514
TKKM o Harataunga,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Waikato,Thames-Coromandel,Te Tai Whenua,532
TKKM o Hoani Waititi,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,Organisational Affiliation,Māori Trusts,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Waitakere Ranges,Te Tai Raro,502
TKKM o Huiarau,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Whakatane,Te Tai Whenua,536
TKKM o Hurungaterangi,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Bay of Plenty,Rotorua,Te Tai Whenua,548
TKKM o Kaikohe,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Far North,Te Tai Raro,527
TKKM o Kawakawa mai Tawhiti,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Gisborne,Gisborne,Te Tai Whenua,526
TKKM o Manawatu,Primary,Full Primary,State: Not integrated,Co-Ed,Organisational Affiliation,Māori Trusts,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,507
TKKM o Mangatuna,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Ngā Kura ā Iwi o Aotearoa Inc,Gisborne,Gisborne,Te Tai Whenua,507
TKKM o Mangere,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Mangere-Otahuhu,Te Tai Raro,546
TKKM o Manurewa,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Manurewa,Te Tai Raro,538
TKKM o Nga Maungarongo,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Albert-Eden,Te Tai Raro,524
TKKM o Nga Mokopuna,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Wellington,Wellington,Te Tai Runga,457
TKKM o Nga Uri A Maui,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Gisborne,Gisborne,Te Tai Whenua,515
TKKM o Ngaringaomatariki,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Kaipara,Te Tai Raro,528
TKKM o Ngati Kahungunu Ki Heretaunga,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Hawke's Bay,Hastings,Te Tai Whenua,548
TKKM o Ngati Kahungunu o Te Wairoa,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Hawke's Bay,Wairoa,Te Tai Whenua,530
TKKM o Ngati Rangi,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Manawatu-Whanganui,Ruapehu,Te Tai Whenua,547
TKKM o Ngati Ruanui,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Taranaki,South Taranaki,Te Tai Whenua,535
TKKM o Otepoti,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Otago,Dunedin,Te Tai Runga,535
TKKM o Otepou,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Bay of Plenty,Tauranga,Te Tai Whenua,531
TKKM o Piripono Te Kura Whakahou ki Ōtara,Primary,Full Primary,State: Not integrated,Co-Ed,Organisational Affiliation,Māori Trusts,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,536
TKKM o Puau Te Moananui-a-Kiwa,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,545
TKKM o Pukemiro,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Far North,Te Tai Raro,533
TKKM o Rotoiti,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Bay of Plenty,Rotorua,Te Tai Whenua,522
TKKM o Ruamata,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Bay of Plenty,Rotorua,Te Tai Whenua,488
TKKM o Takapau,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Hawke's Bay,Central Hawke's Bay,Te Tai Whenua,562
TKKM o Tamaki Nui A Rua,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Manawatu-Whanganui,Tararua,Te Tai Runga,537
TKKM o Tamarongo,Primary,Full Primary,State: Not integrated,Co-Ed,Organisational Affiliation,Māori Trusts,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Taranaki,South Taranaki,Te Tai Whenua,554
TKKM o Tapere-Nui-A-Whatonga,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Gisborne,Gisborne,Te Tai Whenua,531
TKKM o Taumarere,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Far North,Te Tai Raro,528
TKKM o Te Ara Hou,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Hawke's Bay,Napier,Te Tai Whenua,523
TKKM o Te Ara Whanui,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,514
TKKM o Te Atihaunui-A-Paparangi,Primary,Full Primary,State: Not integrated,Co-Ed,Organisational Affiliation,Māori Trusts,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Manawatu-Whanganui,Whanganui,Te Tai Whenua,506
TKKM o Te Hiringa,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Waikato,South Waikato,Te Tai Whenua,523
TKKM o Te Kotuku,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Henderson-Massey,Te Tai Raro,504
TKKM o Te Koutu,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Bay of Plenty,Rotorua,Te Tai Whenua,482
TKKM o Te Kura Kokiri,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Bay of Plenty,Tauranga,Te Tai Whenua,549
TKKM o Te Matai,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Western Bay of Plenty,Te Tai Whenua,541
TKKM o Te Puaha o Waikato,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Waikato,Waikato,Te Tai Whenua,552
TKKM o Te Raki Paewhenua,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Auckland,Auckland: Upper Harbour,Te Tai Raro,497
TKKM o Te Rawhiti Roa,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Whangarei,Te Tai Raro,547
TKKM o Te Rito,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Wellington,Kapiti Coast,Te Tai Runga,490
TKKM o Te Waiu o Ngati Porou,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Gisborne,Gisborne,Te Tai Whenua,516
TKKM o Te Wananga Whare Tapere o Takitimu,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Hawke's Bay,Hastings,Te Tai Whenua,517
TKKM o Te Whanau Tahi,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Canterbury,Christchurch,Te Tai Runga,498
TKKM o Tokomaru,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Gisborne,Gisborne,Te Tai Whenua,524
TKKM o Toku Mapihi Maurea,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,454
TKKM o Tuia te Matangi,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Tasman,Tasman,Te Tai Runga,525
TKKM o Tupoho,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Manawatu-Whanganui,Whanganui,Te Tai Whenua,551
TKKM o Tūtūtarakihi,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Far North,Te Tai Raro,542
TKKM o Wairarapa,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Wellington,Masterton,Te Tai Runga,534
TKKM o Waitaha,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Canterbury,Christchurch,Te Tai Runga,524
TKKM o Whakarewa I Te Reo Ki Tuwharetoa,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Waikato,Taupo,Te Tai Whenua,523
TKKM o Whangaroa,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Te Rūnanga Nui o Ngā Kura Kaupapa Māori o Aotearoa,Northland,Far North,Te Tai Raro,538
Tahakopa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Clutha,Te Tai Runga,507
Tahatai Coast School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Tauranga,Te Tai Whenua,434
Tahuna Normal Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,440
Tahuna School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Matamata-Piako,Te Tai Whenua,455
Tahunanui School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Nelson,Nelson,Te Tai Runga,479
Tai Tapu School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Selwyn,Te Tai Runga,393
Tai Wananga,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,516
Taieri Beach School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Clutha,Te Tai Runga,536
Taieri College,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,457
Taihape Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Rangitikei,Te Tai Whenua,509
Taikura Rudolf Steiner School,Composite,Composite (Year 1-15),State: Integrated,Co-Ed,Organisational Affiliation,Rudolf Steiner,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,434
Tainui Full Primary School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,South Waikato,Te Tai Whenua,523
Tainui School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,442
Taipa Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,532
Tairangi School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,514
Tairua School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Thames-Coromandel,Te Tai Whenua,434
Taita Central School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,515
Taita College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,521
Taitoko School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Horowhenua,Te Tai Runga,540
Takaka Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tasman,Tasman,Te Tai Runga,449
Takanini School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,518
Takapau School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Central Hawke's Bay,Te Tai Whenua,486
Takapuna Grammar School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Devonport-Takapuna,Te Tai Raro,395
Takapuna Normal Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Devonport-Takapuna,Te Tai Raro,379
Takapuna School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Devonport-Takapuna,Te Tai Raro,382
Takaro School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,542
Takitimu Primary School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Southland,Southland,Te Tai Runga,468
Tamahere Model Country School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,368
Tamaki College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,532
Tamaoho School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,443
Tamariki School,Primary,Full Primary,State: Integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,444
Tamatea High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,535
Tamatea Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,497
Tamatea School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,533
Taneatua School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Whakatane,Te Tai Whenua,549
Tangaroa College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,524
Tangaroa College Teen Parent Unit,Secondary,Teen Parent Unit,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,569
Tangimoana School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Manawatu,Te Tai Whenua,513
Tangiteroria School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Kaipara,Te Tai Raro,478
Tangowahine School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Kaipara,Te Tai Raro,518
Taonui School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Manawatu,Te Tai Whenua,470
Taoroa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Rangitikei,Te Tai Whenua,542
Tapanui School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Clutha,Te Tai Runga,453
Tapawera Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tasman,Tasman,Te Tai Runga,495
Tapora School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Rodney,Te Tai Raro,459
Tapu School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Thames-Coromandel,Te Tai Whenua,508
Taradale High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,445
Taradale Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,440
Taradale School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,403
Taranaki Diocesan School for Girls,Secondary,Secondary (Year 9-15),State: Integrated,Single Sex-Girls,Religious Affiliation,Anglican,Not Applicable,Taranaki,Stratford,Te Tai Whenua,463
Tararua College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Tararua,Te Tai Runga,508
Tarawera High School,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Kawerau,Te Tai Whenua,542
Target Road School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Kaipatiki,Te Tai Raro,416
Tarrangower School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Ruapehu,Te Tai Whenua,553
