school,long,lat,x,y
Blockhouse Bay Intermediate,174.694022,-36.918925,1750893.4739641845,5912781.323826057
Blockhouse Bay School,174.702162,-36.924902,1751606.7589108623,5912105.289417055
Bombay School,174.995081,-37.185533,1777091.9571290796,5882681.595639128
Botany Downs School,174.922774,-36.912085,1771286.6742688925,5913153.739871092
Brookby School,174.993987,-36.987433,1777456.2970202705,5904663.501248397
Browns Bay School,174.744662,-36.721853,1755803.6934055418,5934564.040965367
Bruce McLaren Intermediate,174.627079,-36.895336,1744974.76947396,5915502.229847564
Buckland School,174.926351,-37.228336,1770893.9610652493,5878058.67125636
Bucklands Beach Intermediate,174.910452,-36.883126,1770253.2222478176,5916388.7668270115
Bucklands Beach Primary School,174.908001,-36.865755,1770073.3009437458,5918320.419741688
Campbells Bay School,174.759313,-36.754727,1757045.1820880887,5930892.957352823
Chaucer School,174.694563,-36.914455,1750950.4795754512,5913276.393138545
Chelsea School,174.70762,-36.816259,1752308.5358910556,5924149.966422383
Christ the King Catholic School (Owairaka),174.720694,-36.904106,1753299.1201651907,5914382.885253869
Churchill Park School,174.873571,-36.851496,1767035.0471278033,5919963.207788075
Clayton Park School,174.896892,-37.041063,1768695.7184711648,5898889.839621754
Clendon Park School,174.870791,-37.017939,1766424.723462089,5901501.447627516
Clevedon School,175.038957,-36.990305,1781452.0740245355,5904260.058313137
Sir Edmund Hillary Collegiate Junior School,174.877275,-36.950212,1767149.7615914154,5909004.363757224
Coatesville School,174.64439,-36.717952,1746855.7947646051,5935155.233617367
Cockle Bay School,174.939225,-36.905057,1772768.192218981,5913903.814184766
Colwill School Massey,174.632881,-36.834051,1745608.0542693627,5922292.567232065
Conifer Grove School,174.911616,-37.048539,1769988.6190037387,5898034.140296304
Cornwall Park District School,174.789077,-36.892542,1759416.0679616171,5915553.777306075
Cosgrove School,174.957852,-37.054111,1774087.8145348364,5897332.227402957
Dairy Flat School,174.638892,-36.667771,1746459.9226977278,5940730.758153283
Dawson School,174.893387,-36.974375,1768531.206726655,5906295.102258889
Devonport Primary School,174.799486,-36.828336,1760477.8993576518,5922659.739803791
Dominion Road School,174.743731,-36.904869,1755350.1495037696,5914260.959329622
Don Buck School,174.609884,-36.851211,1743525.1171273566,5920423.592050606
Drury School,174.949723,-37.098797,1773263.1691818305,5892389.06854458
East Tamaki School,174.88653299999999,-36.96255,1767947.0555058746,5907619.18894951
Edendale School (Auckland),174.737208,-36.887372,1754804.307987339,5916212.780478118
Edmonton School,174.642282,-36.865667,1746386.1180091188,5918770.6132608615
Edmund Hillary School,174.95773,-37.067381,1774046.6347934082,5895860.114228295
Ellerslie School,174.805734,-36.898634,1760887.6384655996,5914849.926068155
Elm Park School,174.889952,-36.910383,1768366.2302605913,5913401.030028314
Epsom Normal School,174.770541,-36.890747,1757767.9604861902,5915783.73835844
Fairburn School,174.849834,-36.947799,1764711.4140782116,5909319.874529721
Farm Cove Intermediate,174.891,-36.896484,1768490.1727076434,5914941.251622618
Favona School,174.806963,-36.953953,1760880.8225074396,5908710.3556729155
Ferguson Intermediate (Otara),174.882443,-36.964274,1767579.1297720314,5907435.116629343
Finlayson Park School,174.871991,-37.032006,1766500.7683451057,5899938.611802551
