DHB,Month,Year,Time,Population
Wairarapa,February,2015,2015.1666666666667,44130.43949057755
Wairarapa,March,2015,2015.25,44196.12242147606
Wairarapa,April,2015,2015.3333333333333,44262.10551783403
Wairarapa,May,2015,2015.4166666666667,44328.38231094132
Wairarapa,June,2015,2015.5,44394.94633208723
Wairarapa,July,2015,2015.5833333333333,44461.79111256163
Wairarapa,August,2015,2015.6666666666667,44528.91018365438
Wairarapa,September,2015,2015.75,44596.29707665479
Wairarapa,October,2015,2015.8333333333333,44663.945322852705
Wairarapa,November,2015,2015.9166666666667,44731.84845353801
Wairarapa,December,2015,2016,44800
Wairarapa,January,2016,2016.0833333333333,44868.43120164336
Wairarapa,February,2016,2016.1666666666667,44937.32413033208
Wairarapa,March,2016,2016.25,45006.898566044416
Wairarapa,April,2016,2016.3333333333333,45077.37428875917
Wairarapa,May,2016,2016.4166666666667,45148.971078455164
Wairarapa,June,2016,2016.5,45221.908715110636
Wairarapa,July,2016,2016.5833333333333,45296.406978704406
Wairarapa,August,2016,2016.6666666666667,45372.68564921531
Wairarapa,September,2016,2016.75,45450.964506621545
Wairarapa,October,2016,2016.8333333333333,45531.46333090195
Wairarapa,November,2016,2016.9166666666667,45614.40190203537
Wairarapa,December,2016,2017,45700
Wairarapa,January,2017,2017.0833333333333,45788.353203281236
Wairarapa,February,2017,2017.1666666666667,45879.06028439081
Wairarapa,March,2017,2017.25,45971.59581434628
Wairarapa,April,2017,2017.3333333333333,46065.43436416592
Wairarapa,May,2017,2017.4166666666667,46160.05050486806
Wairarapa,June,2017,2017.5,46254.91880747021
Wairarapa,July,2017,2017.5833333333333,46349.51384299069
Wairarapa,August,2017,2017.6666666666667,46443.310182447785
Wairarapa,September,2017,2017.75,46535.782396859046
Wairarapa,October,2017,2017.8333333333333,46626.40505724276
Wairarapa,November,2017,2017.9166666666667,46714.65273461722
Wairarapa,December,2017,2018,46800
Wairarapa,January,2018,2018.0833333333333,46882.09117041642
Wairarapa,February,2018,2018.1666666666667,46961.24954691996
Wairarapa,March,2018,2018.25,47037.96817657048
