Area,Age,Sex,Year at 30 June,Value,Flags
"Whanganui","65 Years and over","Male","1999",4000,
"Whanganui","65 Years and over","Male","2000",4000,
"Whanganui","65 Years and over","Male","2001",4000,
"Whanganui","65 Years and over","Male","2002",4100,
"Whanganui","65 Years and over","Male","2003",4100,
"Whanganui","65 Years and over","Male","2004",4200,
"Whanganui","65 Years and over","Male","2005",4300,
"Whanganui","65 Years and over","Male","2006",4400,
"Whanganui","65 Years and over","Male","2007",4400,
"Whanganui","65 Years and over","Male","2008",4500,
"Whanganui","65 Years and over","Male","2009",4500,
"Whanganui","65 Years and over","Male","2010",4600,
"Whanganui","65 Years and over","Male","2011",4700,
"Whanganui","65 Years and over","Male","2012",4900,
"Whanganui","65 Years and over","Male","2013",5000,
"Whanganui","65 Years and over","Male","2014",5200,
"Whanganui","65 Years and over","Male","2015",5400,
"Whanganui","65 Years and over","Male","2016",5600,
"Whanganui","65 Years and over","Male","2017",5800,
"Whanganui","65 Years and over","Male","2018",6000,
"Whanganui","65 Years and over","Male","2019",6200,
"Whanganui","65 Years and over","Male","2020",6400,
"Whanganui","65 Years and over","Female","1996",5300,
"Whanganui","65 Years and over","Female","1997",5300,
"Whanganui","65 Years and over","Female","1998",5300,
"Whanganui","65 Years and over","Female","1999",5300,
"Whanganui","65 Years and over","Female","2000",5300,
"Whanganui","65 Years and over","Female","2001",5300,
"Whanganui","65 Years and over","Female","2002",5400,
"Whanganui","65 Years and over","Female","2003",5400,
"Whanganui","65 Years and over","Female","2004",5400,
"Whanganui","65 Years and over","Female","2005",5500,
"Whanganui","65 Years and over","Female","2006",5600,
"Whanganui","65 Years and over","Female","2007",5700,
"Whanganui","65 Years and over","Female","2008",5700,
"Whanganui","65 Years and over","Female","2009",5800,
"Whanganui","65 Years and over","Female","2010",5800,
"Whanganui","65 Years and over","Female","2011",5900,
"Whanganui","65 Years and over","Female","2012",6000,
"Whanganui","65 Years and over","Female","2013",6100,
"Whanganui","65 Years and over","Female","2014",6300,
"Whanganui","65 Years and over","Female","2015",6400,
"Whanganui","65 Years and over","Female","2016",6600,
"Whanganui","65 Years and over","Female","2017",6700,
"Whanganui","65 Years and over","Female","2018",6900,
"Whanganui","65 Years and over","Female","2019",7100,
"Whanganui","65 Years and over","Female","2020",7400,
"Whanganui","65 Years and over","Total people, sex","1996",9100,
"Whanganui","65 Years and over","Total people, sex","1997",9200,
"Whanganui","65 Years and over","Total people, sex","1998",9200,
"Whanganui","65 Years and over","Total people, sex","1999",9300,
"Whanganui","65 Years and over","Total people, sex","2000",9400,
"Whanganui","65 Years and over","Total people, sex","2001",9400,
"Whanganui","65 Years and over","Total people, sex","2002",9400,
"Whanganui","65 Years and over","Total people, sex","2003",9500,
"Whanganui","65 Years and over","Total people, sex","2004",9600,
"Whanganui","65 Years and over","Total people, sex","2005",9800,
"Whanganui","65 Years and over","Total people, sex","2006",10000,
"Whanganui","65 Years and over","Total people, sex","2007",10100,
"Whanganui","65 Years and over","Total people, sex","2008",10200,
"Whanganui","65 Years and over","Total people, sex","2009",10300,
"Whanganui","65 Years and over","Total people, sex","2010",10400,
"Whanganui","65 Years and over","Total people, sex","2011",10600,
"Whanganui","65 Years and over","Total people, sex","2012",10900,
"Whanganui","65 Years and over","Total people, sex","2013",11200,
"Whanganui","65 Years and over","Total people, sex","2014",11500,
"Whanganui","65 Years and over","Total people, sex","2015",11800,
"Whanganui","65 Years and over","Total people, sex","2016",12200,
"Whanganui","65 Years and over","Total people, sex","2017",12500,
"Whanganui","65 Years and over","Total people, sex","2018",12800,
"Whanganui","65 Years and over","Total people, sex","2019",13300,
"Whanganui","65 Years and over","Total people, sex","2020",13800,
"MidCentral","65 Years and over","Male","1996",8600,
"MidCentral","65 Years and over","Male","1997",8700,
"MidCentral","65 Years and over","Male","1998",8800,
"MidCentral","65 Years and over","Male","1999",9000,
"MidCentral","65 Years and over","Male","2000",9100,
"MidCentral","65 Years and over","Male","2001",9300,
"MidCentral","65 Years and over","Male","2002",9400,
"MidCentral","65 Years and over","Male","2003",9600,
"MidCentral","65 Years and over","Male","2004",9700,
"MidCentral","65 Years and over","Male","2005",10000,
"MidCentral","65 Years and over","Male","2006",10300,
"MidCentral","65 Years and over","Male","2007",10500,
"MidCentral","65 Years and over","Male","2008",10700,
"MidCentral","65 Years and over","Male","2009",11000,
"MidCentral","65 Years and over","Male","2010",11300,
"MidCentral","65 Years and over","Male","2011",11700,
"MidCentral","65 Years and over","Male","2012",12200,
"MidCentral","65 Years and over","Male","2013",12700,
"MidCentral","65 Years and over","Male","2014",13100,
"MidCentral","65 Years and over","Male","2015",13500,
"MidCentral","65 Years and over","Male","2016",13900,
"MidCentral","65 Years and over","Male","2017",14300,
"MidCentral","65 Years and over","Male","2018",14700,
"MidCentral","65 Years and over","Male","2019",15200,
"MidCentral","65 Years and over","Male","2020",15700,
"MidCentral","65 Years and over","Female","1996",11300,
"MidCentral","65 Years and over","Female","1997",11300,
"MidCentral","65 Years and over","Female","1998",11500,
"MidCentral","65 Years and over","Female","1999",11600,
"MidCentral","65 Years and over","Female","2000",11700,
"MidCentral","65 Years and over","Female","2001",11900,
"MidCentral","65 Years and over","Female","2002",11900,
"MidCentral","65 Years and over","Female","2003",12000,
"MidCentral","65 Years and over","Female","2004",12200,
"MidCentral","65 Years and over","Female","2005",12400,
"MidCentral","65 Years and over","Female","2006",12600,
"MidCentral","65 Years and over","Female","2007",12900,
"MidCentral","65 Years and over","Female","2008",13000,
"MidCentral","65 Years and over","Female","2009",13300,
"MidCentral","65 Years and over","Female","2010",13600,
"MidCentral","65 Years and over","Female","2011",13900,
"MidCentral","65 Years and over","Female","2012",14400,
"MidCentral","65 Years and over","Female","2013",14800,
"MidCentral","65 Years and over","Female","2014",15300,
"MidCentral","65 Years and over","Female","2015",15700,
"MidCentral","65 Years and over","Female","2016",16100,
"MidCentral","65 Years and over","Female","2017",16600,
"MidCentral","65 Years and over","Female","2018",17000,
"MidCentral","65 Years and over","Female","2019",17500,
"MidCentral","65 Years and over","Female","2020",18100,
"MidCentral","65 Years and over","Total people, sex","1996",19800,
"MidCentral","65 Years and over","Total people, sex","1997",20000,
"MidCentral","65 Years and over","Total people, sex","1998",20300,
"MidCentral","65 Years and over","Total people, sex","1999",20600,
"MidCentral","65 Years and over","Total people, sex","2000",20900,
"MidCentral","65 Years and over","Total people, sex","2001",21200,
"MidCentral","65 Years and over","Total people, sex","2002",21400,
"MidCentral","65 Years and over","Total people, sex","2003",21600,
"MidCentral","65 Years and over","Total people, sex","2004",21900,
"MidCentral","65 Years and over","Total people, sex","2005",22300,
"MidCentral","65 Years and over","Total people, sex","2006",22900,
"MidCentral","65 Years and over","Total people, sex","2007",23400,
"MidCentral","65 Years and over","Total people, sex","2008",23700,
"MidCentral","65 Years and over","Total people, sex","2009",24300,
"MidCentral","65 Years and over","Total people, sex","2010",24900,
"MidCentral","65 Years and over","Total people, sex","2011",25600,
"MidCentral","65 Years and over","Total people, sex","2012",26600,
"MidCentral","65 Years and over","Total people, sex","2013",27500,
"MidCentral","65 Years and over","Total people, sex","2014",28400,
"MidCentral","65 Years and over","Total people, sex","2015",29200,
"MidCentral","65 Years and over","Total people, sex","2016",30000,
"MidCentral","65 Years and over","Total people, sex","2017",30900,
"MidCentral","65 Years and over","Total people, sex","2018",31700,
"MidCentral","65 Years and over","Total people, sex","2019",32800,
"MidCentral","65 Years and over","Total people, sex","2020",33800,
"Hutt Valley","65 Years and over","Male","1996",6000,
"Hutt Valley","65 Years and over","Male","1997",6000,
"Hutt Valley","65 Years and over","Male","1998",6100,
"Hutt Valley","65 Years and over","Male","1999",6200,
"Hutt Valley","65 Years and over","Male","2000",6200,
"Hutt Valley","65 Years and over","Male","2001",6200,
"Hutt Valley","65 Years and over","Male","2002",6300,
"Hutt Valley","65 Years and over","Male","2003",6400,
"Hutt Valley","65 Years and over","Male","2004",6600,
"Hutt Valley","65 Years and over","Male","2005",6800,
"Hutt Valley","65 Years and over","Male","2006",7000,
"Hutt Valley","65 Years and over","Male","2007",7200,
"Hutt Valley","65 Years and over","Male","2008",7300,
"Hutt Valley","65 Years and over","Male","2009",7500,
"Hutt Valley","65 Years and over","Male","2010",7700,
"Hutt Valley","65 Years and over","Male","2011",7900,
"Hutt Valley","65 Years and over","Male","2012",8300,
"Hutt Valley","65 Years and over","Male","2013",8500,
"Hutt Valley","65 Years and over","Male","2014",8800,
"Hutt Valley","65 Years and over","Male","2015",9100,
"Hutt Valley","65 Years and over","Male","2016",9300,
"Hutt Valley","65 Years and over","Male","2017",9600,
"Hutt Valley","65 Years and over","Male","2018",9800,
"Hutt Valley","65 Years and over","Male","2019",10000,
"Hutt Valley","65 Years and over","Male","2020",10300,
"Hutt Valley","65 Years and over","Female","1996",8300,
"Hutt Valley","65 Years and over","Female","1997",8400,
"Hutt Valley","65 Years and over","Female","1998",8400,
"Hutt Valley","65 Years and over","Female","1999",8400,
"Hutt Valley","65 Years and over","Female","2000",8400,
"Hutt Valley","65 Years and over","Female","2001",8400,
"Hutt Valley","65 Years and over","Female","2002",8500,
"Hutt Valley","65 Years and over","Female","2003",8500,
"Hutt Valley","65 Years and over","Female","2004",8600,
"Hutt Valley","65 Years and over","Female","2005",8800,
"Hutt Valley","65 Years and over","Female","2006",8900,
"Hutt Valley","65 Years and over","Female","2007",9100,
"Hutt Valley","65 Years and over","Female","2008",9200,
"Hutt Valley","65 Years and over","Female","2009",9400,
"Hutt Valley","65 Years and over","Female","2010",9500,
"Hutt Valley","65 Years and over","Female","2011",9800,
"Hutt Valley","65 Years and over","Female","2012",10000,
"Hutt Valley","65 Years and over","Female","2013",10400,
"Hutt Valley","65 Years and over","Female","2014",10600,
"Hutt Valley","65 Years and over","Female","2015",10900,
"Hutt Valley","65 Years and over","Female","2016",11100,
"Hutt Valley","65 Years and over","Female","2017",11300,
"Hutt Valley","65 Years and over","Female","2018",11500,
"Hutt Valley","65 Years and over","Female","2019",11700,
"Hutt Valley","65 Years and over","Female","2020",12100,
"Hutt Valley","65 Years and over","Total people, sex","1996",14300,
"Hutt Valley","65 Years and over","Total people, sex","1997",14400,
"Hutt Valley","65 Years and over","Total people, sex","1998",14500,
"Hutt Valley","65 Years and over","Total people, sex","1999",14600,
"Hutt Valley","65 Years and over","Total people, sex","2000",14600,
"Hutt Valley","65 Years and over","Total people, sex","2001",14600,
"Hutt Valley","65 Years and over","Total people, sex","2002",14800,
"Hutt Valley","65 Years and over","Total people, sex","2003",15000,
"Hutt Valley","65 Years and over","Total people, sex","2004",15200,
"Hutt Valley","65 Years and over","Total people, sex","2005",15500,
"Hutt Valley","65 Years and over","Total people, sex","2006",15900,
"Hutt Valley","65 Years and over","Total people, sex","2007",16300,
"Hutt Valley","65 Years and over","Total people, sex","2008",16500,
"Hutt Valley","65 Years and over","Total people, sex","2009",16900,
"Hutt Valley","65 Years and over","Total people, sex","2010",17300,
"Hutt Valley","65 Years and over","Total people, sex","2011",17700,
"Hutt Valley","65 Years and over","Total people, sex","2012",18300,
"Hutt Valley","65 Years and over","Total people, sex","2013",18900,
"Hutt Valley","65 Years and over","Total people, sex","2014",19500,
"Hutt Valley","65 Years and over","Total people, sex","2015",20000,
"Hutt Valley","65 Years and over","Total people, sex","2016",20500,
"Hutt Valley","65 Years and over","Total people, sex","2017",20900,
"Hutt Valley","65 Years and over","Total people, sex","2018",21200,
"Hutt Valley","65 Years and over","Total people, sex","2019",21700,
"Hutt Valley","65 Years and over","Total people, sex","2020",22400,
"Capital and Coast","65 Years and over","Male","1996",10400,
"Capital and Coast","65 Years and over","Male","1997",10600,
"Capital and Coast","65 Years and over","Male","1998",10800,
"Capital and Coast","65 Years and over","Male","1999",11000,
"Capital and Coast","65 Years and over","Male","2000",11100,
"Capital and Coast","65 Years and over","Male","2001",11200,
"Capital and Coast","65 Years and over","Male","2002",11400,
"Capital and Coast","65 Years and over","Male","2003",11700,
"Capital and Coast","65 Years and over","Male","2004",11900,
"Capital and Coast","65 Years and over","Male","2005",12300,
"Capital and Coast","65 Years and over","Male","2006",12800,
"Capital and Coast","65 Years and over","Male","2007",13200,
"Capital and Coast","65 Years and over","Male","2008",13500,
"Capital and Coast","65 Years and over","Male","2009",13800,
"Capital and Coast","65 Years and over","Male","2010",14200,
"Capital and Coast","65 Years and over","Male","2011",14700,
"Capital and Coast","65 Years and over","Male","2012",15400,
"Capital and Coast","65 Years and over","Male","2013",15900,
"Capital and Coast","65 Years and over","Male","2014",16600,
"Capital and Coast","65 Years and over","Male","2015",17100,
"Capital and Coast","65 Years and over","Male","2016",17600,
"Capital and Coast","65 Years and over","Male","2017",18000,
"Capital and Coast","65 Years and over","Male","2018",18600,
"Capital and Coast","65 Years and over","Male","2019",19000,
"Capital and Coast","65 Years and over","Male","2020",19700,
"Capital and Coast","65 Years and over","Female","1996",14000,
"Capital and Coast","65 Years and over","Female","1997",14100,
"Capital and Coast","65 Years and over","Female","1998",14300,
"Capital and Coast","65 Years and over","Female","1999",14400,
"Capital and Coast","65 Years and over","Female","2000",14500,
"Capital and Coast","65 Years and over","Female","2001",14800,
"Capital and Coast","65 Years and over","Female","2002",14900,
"Capital and Coast","65 Years and over","Female","2003",15100,
"Capital and Coast","65 Years and over","Female","2004",15500,
"Capital and Coast","65 Years and over","Female","2005",15800,
"Capital and Coast","65 Years and over","Female","2006",16300,
"Capital and Coast","65 Years and over","Female","2007",16600,
"Capital and Coast","65 Years and over","Female","2008",16900,
"Capital and Coast","65 Years and over","Female","2009",17200,
"Capital and Coast","65 Years and over","Female","2010",17600,
"Capital and Coast","65 Years and over","Female","2011",18100,
"Capital and Coast","65 Years and over","Female","2012",18700,
"Capital and Coast","65 Years and over","Female","2013",19300,
"Capital and Coast","65 Years and over","Female","2014",20100,
"Capital and Coast","65 Years and over","Female","2015",20700,
"Capital and Coast","65 Years and over","Female","2016",21100,
"Capital and Coast","65 Years and over","Female","2017",21600,
"Capital and Coast","65 Years and over","Female","2018",22200,
"Capital and Coast","65 Years and over","Female","2019",22900,
"Capital and Coast","65 Years and over","Female","2020",23600,
"Capital and Coast","65 Years and over","Total people, sex","1996",24300,
"Capital and Coast","65 Years and over","Total people, sex","1997",24700,
"Capital and Coast","65 Years and over","Total people, sex","1998",25000,
"Capital and Coast","65 Years and over","Total people, sex","1999",25400,
"Capital and Coast","65 Years and over","Total people, sex","2000",25600,
"Capital and Coast","65 Years and over","Total people, sex","2001",26000,
"Capital and Coast","65 Years and over","Total people, sex","2002",26400,
"Capital and Coast","65 Years and over","Total people, sex","2003",26800,
"Capital and Coast","65 Years and over","Total people, sex","2004",27400,
"Capital and Coast","65 Years and over","Total people, sex","2005",28100,
"Capital and Coast","65 Years and over","Total people, sex","2006",29100,
"Capital and Coast","65 Years and over","Total people, sex","2007",29800,
"Capital and Coast","65 Years and over","Total people, sex","2008",30300,
"Capital and Coast","65 Years and over","Total people, sex","2009",31000,
"Capital and Coast","65 Years and over","Total people, sex","2010",31800,
"Capital and Coast","65 Years and over","Total people, sex","2011",32800,
"Capital and Coast","65 Years and over","Total people, sex","2012",34100,
"Capital and Coast","65 Years and over","Total people, sex","2013",35200,
"Capital and Coast","65 Years and over","Total people, sex","2014",36600,
"Capital and Coast","65 Years and over","Total people, sex","2015",37700,
"Capital and Coast","65 Years and over","Total people, sex","2016",38700,
"Capital and Coast","65 Years and over","Total people, sex","2017",39600,
"Capital and Coast","65 Years and over","Total people, sex","2018",40800,
"Capital and Coast","65 Years and over","Total people, sex","2019",41900,
"Capital and Coast","65 Years and over","Total people, sex","2020",43200,
"Wairarapa","65 Years and over","Male","1996",2400,
"Wairarapa","65 Years and over","Male","1997",2400,
"Wairarapa","65 Years and over","Male","1998",2500,
"Wairarapa","65 Years and over","Male","1999",2500,
"Wairarapa","65 Years and over","Male","2000",2500,
"Wairarapa","65 Years and over","Male","2001",2600,
"Wairarapa","65 Years and over","Male","2002",2600,
"Wairarapa","65 Years and over","Male","2003",2700,
"Wairarapa","65 Years and over","Male","2004",2700,
"Wairarapa","65 Years and over","Male","2005",2800,
"Wairarapa","65 Years and over","Male","2006",2900,
"Wairarapa","65 Years and over","Male","2007",3000,
"Wairarapa","65 Years and over","Male","2008",3100,
"Wairarapa","65 Years and over","Male","2009",3100,
"Wairarapa","65 Years and over","Male","2010",3300,
"Wairarapa","65 Years and over","Male","2011",3400,
"Wairarapa","65 Years and over","Male","2012",3600,
"Wairarapa","65 Years and over","Male","2013",3700,
"Wairarapa","65 Years and over","Male","2014",4000,
"Wairarapa","65 Years and over","Male","2015",4100,
"Wairarapa","65 Years and over","Male","2016",4300,
"Wairarapa","65 Years and over","Male","2017",4600,
"Wairarapa","65 Years and over","Male","2018",4800,
"Wairarapa","65 Years and over","Male","2019",5000,
"Wairarapa","65 Years and over","Male","2020",5200,
"Wairarapa","65 Years and over","Female","1996",3100,
"Wairarapa","65 Years and over","Female","1997",3100,
"Wairarapa","65 Years and over","Female","1998",3100,
"Wairarapa","65 Years and over","Female","1999",3200,
"Wairarapa","65 Years and over","Female","2000",3200,
"Wairarapa","65 Years and over","Female","2001",3300,
"Wairarapa","65 Years and over","Female","2002",3300,
"Wairarapa","65 Years and over","Female","2003",3400,
"Wairarapa","65 Years and over","Female","2004",3400,
"Wairarapa","65 Years and over","Female","2005",3500,
"Wairarapa","65 Years and over","Female","2006",3600,
"Wairarapa","65 Years and over","Female","2007",3600,
"Wairarapa","65 Years and over","Female","2008",3700,
"Wairarapa","65 Years and over","Female","2009",3800,
"Wairarapa","65 Years and over","Female","2010",3900,
"Wairarapa","65 Years and over","Female","2011",4000,
"Wairarapa","65 Years and over","Female","2012",4100,
"Wairarapa","65 Years and over","Female","2013",4300,
"Wairarapa","65 Years and over","Female","2014",4500,
"Wairarapa","65 Years and over","Female","2015",4700,
"Wairarapa","65 Years and over","Female","2016",4900,
"Wairarapa","65 Years and over","Female","2017",5000,
"Wairarapa","65 Years and over","Female","2018",5200,
"Wairarapa","65 Years and over","Female","2019",5500,
"Wairarapa","65 Years and over","Female","2020",5700,
"Wairarapa","65 Years and over","Total people, sex","1996",5400,
"Wairarapa","65 Years and over","Total people, sex","1997",5500,
"Wairarapa","65 Years and over","Total people, sex","1998",5600,
"Wairarapa","65 Years and over","Total people, sex","1999",5600,
"Wairarapa","65 Years and over","Total people, sex","2000",5800,
"Wairarapa","65 Years and over","Total people, sex","2001",5900,
"Wairarapa","65 Years and over","Total people, sex","2002",6000,
"Wairarapa","65 Years and over","Total people, sex","2003",6000,
"Wairarapa","65 Years and over","Total people, sex","2004",6100,
"Wairarapa","65 Years and over","Total people, sex","2005",6300,
"Wairarapa","65 Years and over","Total people, sex","2006",6500,
"Wairarapa","65 Years and over","Total people, sex","2007",6600,
"Wairarapa","65 Years and over","Total people, sex","2008",6800,
"Wairarapa","65 Years and over","Total people, sex","2009",6900,
"Wairarapa","65 Years and over","Total people, sex","2010",7200,
"Wairarapa","65 Years and over","Total people, sex","2011",7400,
"Wairarapa","65 Years and over","Total people, sex","2012",7700,
"Wairarapa","65 Years and over","Total people, sex","2013",8100,
"Wairarapa","65 Years and over","Total people, sex","2014",8500,
"Wairarapa","65 Years and over","Total people, sex","2015",8800,
"Wairarapa","65 Years and over","Total people, sex","2016",9200,
"Wairarapa","65 Years and over","Total people, sex","2017",9600,
"Wairarapa","65 Years and over","Total people, sex","2018",10000,
"Wairarapa","65 Years and over","Total people, sex","2019",10400,
"Wairarapa","65 Years and over","Total people, sex","2020",11000,
"Nelson Marlborough","65 Years and over","Male","1996",7100,
"Nelson Marlborough","65 Years and over","Male","1997",7200,
"Nelson Marlborough","65 Years and over","Male","1998",7400,
"Nelson Marlborough","65 Years and over","Male","1999",7600,
"Nelson Marlborough","65 Years and over","Male","2000",7800,
"Nelson Marlborough","65 Years and over","Male","2001",8000,
"Nelson Marlborough","65 Years and over","Male","2002",8100,
"Nelson Marlborough","65 Years and over","Male","2003",8300,
"Nelson Marlborough","65 Years and over","Male","2004",8500,
"Nelson Marlborough","65 Years and over","Male","2005",8700,
"Nelson Marlborough","65 Years and over","Male","2006",9000,
"Nelson Marlborough","65 Years and over","Male","2007",9400,
"Nelson Marlborough","65 Years and over","Male","2008",9700,
"Nelson Marlborough","65 Years and over","Male","2009",10100,
"Nelson Marlborough","65 Years and over","Male","2010",10600,
"Nelson Marlborough","65 Years and over","Male","2011",11100,
"Nelson Marlborough","65 Years and over","Male","2012",11800,
"Nelson Marlborough","65 Years and over","Male","2013",12400,
"Nelson Marlborough","65 Years and over","Male","2014",13000,
"Nelson Marlborough","65 Years and over","Male","2015",13600,
"Nelson Marlborough","65 Years and over","Male","2016",14300,
"Nelson Marlborough","65 Years and over","Male","2017",14900,
"Nelson Marlborough","65 Years and over","Male","2018",15400,
"Nelson Marlborough","65 Years and over","Male","2019",15900,
"Nelson Marlborough","65 Years and over","Male","2020",16600,
"Nelson Marlborough","65 Years and over","Female","1996",9000,
"Nelson Marlborough","65 Years and over","Female","1997",9100,
"Nelson Marlborough","65 Years and over","Female","1998",9300,
"Nelson Marlborough","65 Years and over","Female","1999",9500,
"Nelson Marlborough","65 Years and over","Female","2000",9600,
"Nelson Marlborough","65 Years and over","Female","2001",9800,
"Nelson Marlborough","65 Years and over","Female","2002",9900,
"Nelson Marlborough","65 Years and over","Female","2003",10100,
"Nelson Marlborough","65 Years and over","Female","2004",10200,
"Nelson Marlborough","65 Years and over","Female","2005",10400,
"Nelson Marlborough","65 Years and over","Female","2006",10700,
"Nelson Marlborough","65 Years and over","Female","2007",11000,
"Nelson Marlborough","65 Years and over","Female","2008",11300,
"Nelson Marlborough","65 Years and over","Female","2009",11600,
"Nelson Marlborough","65 Years and over","Female","2010",12000,
"Nelson Marlborough","65 Years and over","Female","2011",12500,
"Nelson Marlborough","65 Years and over","Female","2012",13100,
"Nelson Marlborough","65 Years and over","Female","2013",13800,
"Nelson Marlborough","65 Years and over","Female","2014",14400,
"Nelson Marlborough","65 Years and over","Female","2015",14900,
"Nelson Marlborough","65 Years and over","Female","2016",15500,
"Nelson Marlborough","65 Years and over","Female","2017",16100,
"Nelson Marlborough","65 Years and over","Female","2018",16600,
"Nelson Marlborough","65 Years and over","Female","2019",17200,
"Nelson Marlborough","65 Years and over","Female","2020",18000,
"Nelson Marlborough","65 Years and over","Total people, sex","1996",16100,
"Nelson Marlborough","65 Years and over","Total people, sex","1997",16300,
"Nelson Marlborough","65 Years and over","Total people, sex","1998",16700,
"Nelson Marlborough","65 Years and over","Total people, sex","1999",17100,
"Nelson Marlborough","65 Years and over","Total people, sex","2000",17400,
"Nelson Marlborough","65 Years and over","Total people, sex","2001",17800,
"Nelson Marlborough","65 Years and over","Total people, sex","2002",18000,
"Nelson Marlborough","65 Years and over","Total people, sex","2003",18300,
"Nelson Marlborough","65 Years and over","Total people, sex","2004",18700,
"Nelson Marlborough","65 Years and over","Total people, sex","2005",19200,
"Nelson Marlborough","65 Years and over","Total people, sex","2006",19700,
"Nelson Marlborough","65 Years and over","Total people, sex","2007",20500,
"Nelson Marlborough","65 Years and over","Total people, sex","2008",21000,
"Nelson Marlborough","65 Years and over","Total people, sex","2009",21700,
"Nelson Marlborough","65 Years and over","Total people, sex","2010",22500,
"Nelson Marlborough","65 Years and over","Total people, sex","2011",23600,
"Nelson Marlborough","65 Years and over","Total people, sex","2012",24900,
"Nelson Marlborough","65 Years and over","Total people, sex","2013",26200,
"Nelson Marlborough","65 Years and over","Total people, sex","2014",27400,
"Nelson Marlborough","65 Years and over","Total people, sex","2015",28600,
"Nelson Marlborough","65 Years and over","Total people, sex","2016",29800,
"Nelson Marlborough","65 Years and over","Total people, sex","2017",30900,
"Nelson Marlborough","65 Years and over","Total people, sex","2018",32000,
"Nelson Marlborough","65 Years and over","Total people, sex","2019",33200,
"Nelson Marlborough","65 Years and over","Total people, sex","2020",34600,
"West Coast","65 Years and over","Male","1996",1800,
"West Coast","65 Years and over","Male","1997",1900,
"West Coast","65 Years and over","Male","1998",1900,
"West Coast","65 Years and over","Male","1999",1900,
"West Coast","65 Years and over","Male","2000",1900,
"West Coast","65 Years and over","Male","2001",2000,
"West Coast","65 Years and over","Male","2002",2000,
"West Coast","65 Years and over","Male","2003",2000,
"West Coast","65 Years and over","Male","2004",2000,
"West Coast","65 Years and over","Male","2005",2100,
"West Coast","65 Years and over","Male","2006",2200,
"West Coast","65 Years and over","Male","2007",2200,
"West Coast","65 Years and over","Male","2008",2300,
"West Coast","65 Years and over","Male","2009",2300,
"West Coast","65 Years and over","Male","2010",2400,
"West Coast","65 Years and over","Male","2011",2500,
"West Coast","65 Years and over","Male","2012",2600,
"West Coast","65 Years and over","Male","2013",2600,
"West Coast","65 Years and over","Male","2014",2800,
"West Coast","65 Years and over","Male","2015",2900,
"West Coast","65 Years and over","Male","2016",3000,
"West Coast","65 Years and over","Male","2017",3100,
"West Coast","65 Years and over","Male","2018",3200,
"West Coast","65 Years and over","Male","2019",3400,
"West Coast","65 Years and over","Male","2020",3600,
"West Coast","65 Years and over","Female","1996",2200,
"West Coast","65 Years and over","Female","1997",2200,
"West Coast","65 Years and over","Female","1998",2200,
"West Coast","65 Years and over","Female","1999",2200,
"West Coast","65 Years and over","Female","2000",2200,
"West Coast","65 Years and over","Female","2001",2200,
"West Coast","65 Years and over","Female","2002",2200,
"West Coast","65 Years and over","Female","2003",2200,
"West Coast","65 Years and over","Female","2004",2200,
"West Coast","65 Years and over","Female","2005",2300,
"West Coast","65 Years and over","Female","2006",2300,
"West Coast","65 Years and over","Female","2007",2400,
"West Coast","65 Years and over","Female","2008",2400,
"West Coast","65 Years and over","Female","2009",2400,
"West Coast","65 Years and over","Female","2010",2500,
"West Coast","65 Years and over","Female","2011",2500,
"West Coast","65 Years and over","Female","2012",2600,
"West Coast","65 Years and over","Female","2013",2600,
"West Coast","65 Years and over","Female","2014",2700,
"West Coast","65 Years and over","Female","2015",2800,
"West Coast","65 Years and over","Female","2016",2900,
"West Coast","65 Years and over","Female","2017",3000,
"West Coast","65 Years and over","Female","2018",3100,
"West Coast","65 Years and over","Female","2019",3200,
"West Coast","65 Years and over","Female","2020",3300,
"West Coast","65 Years and over","Total people, sex","1996",4000,
"West Coast","65 Years and over","Total people, sex","1997",4000,
"West Coast","65 Years and over","Total people, sex","1998",4100,
"West Coast","65 Years and over","Total people, sex","1999",4100,
"West Coast","65 Years and over","Total people, sex","2000",4100,
"West Coast","65 Years and over","Total people, sex","2001",4100,
"West Coast","65 Years and over","Total people, sex","2002",4200,
"West Coast","65 Years and over","Total people, sex","2003",4200,
"West Coast","65 Years and over","Total people, sex","2004",4200,
"West Coast","65 Years and over","Total people, sex","2005",4300,
"West Coast","65 Years and over","Total people, sex","2006",4500,
"West Coast","65 Years and over","Total people, sex","2007",4600,
"West Coast","65 Years and over","Total people, sex","2008",4700,
"West Coast","65 Years and over","Total people, sex","2009",4800,
"West Coast","65 Years and over","Total people, sex","2010",4900,
"West Coast","65 Years and over","Total people, sex","2011",5000,
"West Coast","65 Years and over","Total people, sex","2012",5200,
"West Coast","65 Years and over","Total people, sex","2013",5300,
"West Coast","65 Years and over","Total people, sex","2014",5500,
"West Coast","65 Years and over","Total people, sex","2015",5700,
"West Coast","65 Years and over","Total people, sex","2016",5900,
"West Coast","65 Years and over","Total people, sex","2017",6100,
"West Coast","65 Years and over","Total people, sex","2018",6300,
"West Coast","65 Years and over","Total people, sex","2019",6600,
"West Coast","65 Years and over","Total people, sex","2020",6900,
"Canterbury","65 Years and over","Male","1996",23200,
"Canterbury","65 Years and over","Male","1997",23600,
"Canterbury","65 Years and over","Male","1998",23900,
"Canterbury","65 Years and over","Male","1999",24200,
"Canterbury","65 Years and over","Male","2000",24500,
"Canterbury","65 Years and over","Male","2001",24800,
